level,rack,slot,,Sample,Date,Owner
A,1,11,a,admixture mapping gDNA- CB-1-CB-4,2016-12-12,RSB
A,1,11,b,admixture mapping gDNA- CB-2,2016-12-12,RSB
A,1,11,c,admixture mapping gDNA- CB-3,2016-12-12,RSB
A,1,11,d,admixture mapping gDNA- CB-4,2016-12-12,RSB
A,1,9,a,admixture mapping gDNA- AC-1,2016-12-12,RSB
A,1,9,b,admixture mapping gDNA- AC-2,2016-12-12,RSB
A,1,9,c,admixture mapping gDNA- AC-3,2016-12-12,RSB
A,1,9,d,admixture mapping gDNA- AC-4,2016-12-12,RSB
A,1,9,e,admixture mapping gDNA- AC-5,2016-12-12,RSB
A,1,10,a,admixture mapping gDNA- AC,2016-12-12,RSB
A,1,10,b,admixture mapping gDNA- AC,2016-12-12,RSB
A,1,10,c,admixture mapping gDNA- AC,2016-12-12,RSB
A,1,10,d,admixture mapping gDNA- AC,2016-12-12,RSB
A,1,10,e,admixture mapping gDNA- AC,2016-12-12,RSB
A,1,1,a,breeding exp- BE-01 gDNA,2016-12-12,RSB
A,1,1,b,breeding exp- BE-02 gDNA,2016-12-12,RSB
A,1,1,c,breeding exp- BE-03 gDNA,2016-12-12,RSB
A,1,1,d,breeding exp- BE-04 gDNA,2016-12-12,RSB
A,1,2,a,breeding exp- BE-05 gDNA,2016-12-12,RSB
A,1,2,b,breeding exp- BE-06 gDNA,2016-12-12,RSB
A,1,2,c,breeding exp- BE-07 gDNA,2016-12-12,RSB
A,1,2,d,breeding exp- BE-08 gDNA,2016-12-12,RSB
A,1,3,a,breeding exp- BE-09 gDNA,2016-12-12,RSB
A,1,3,b,breeding exp- BE-10 gDNA,2016-12-12,RSB
A,1,3,c,breeding exp- BE-11 gDNA,2016-12-12,RSB
A,1,3,d,breeding exp- BE-12 gDNA,2016-12-12,RSB
A,1,3,e,breeding exp- BE-13 gDNA,2016-12-12,RSB
A,1,4,a,breeding exp- BE-14 gDNA,2016-12-12,RSB
A,1,4,b,breeding exp- BE-15 gDNA,2016-12-12,RSB
A,1,4,c,breeding exp- BE-16 gDNA,2016-12-12,RSB
A,1,4,d,breeding exp- BE-17 gDNA,2016-12-12,RSB
A,1,4,e,breeding exp- BE-18 gDNA,2016-12-12,RSB
A,1,5,a,breeding exp- BE-19 gDNA,2016-12-12,RSB
A,1,5,b,breeding exp- BE-20 gDNA,2016-12-12,RSB
A,1,5,c,breeding exp- BE-21 gDNA,2016-12-12,RSB
A,1,5,d,breeding exp- BE-22 gDNA,2016-12-12,RSB
A,1,5,e,breeding exp- BE-23 gDNA,2016-12-12,RSB
A,1,6,a,breeding exp- BE-24 gDNA,2016-12-12,RSB
A,1,6,b,breeding exp- BE-25 gDNA,2016-12-12,RSB
A,1,6,c,breeding exp- BE-26 gDNA,2016-12-12,RSB
A,1,6,d,breeding exp- Parent1 gDNA,2016-12-12,RSB
A,1,6,e,breeding exp- Parent2 gDNA,2016-12-12,RSB
A,1,7,a,salinity host microbiome- SHM1,2016-12-12,RSB
A,1,7,b,salinity host microbiome- SHM2,2016-12-12,RSB
